,GRUBHUB DEFINED SEGMENT (2 total: Urban & Suburban),Urbanicity,Segment,Interests,Geo View,Neighborhood,Housing Style,Penetration Rate,pop_from_web,Population Growth,Population Density,Avg Household Size,Median Age,Median HHI,SUM_Diners,Family_Status,Daytime Population,tapestry name,sept23 population,sept23 distinct monthly diners,sept23 total OCP,sept23 monthly avg dcp,sept23 monthly orders,sept23 monthly avg ocp,sept23 penetration,cluster,suburban_cluster,Distance_to_Cluster_0,Distance_to_Cluster_1
0,SUBURB_GH,SURBURBAN,Boomburg,"Digitally connected, happy commuters, family oriented activities",Nationwide,suburban periphery of large metropolitan areas,Single Family,0.06,6536700,0.04,1017,3.25,34,113400,413173,Married Couples,6416950,Boomburbs,7999230,91451,919024.44,10.05,236055,3.89,0.01,SUBURB_GH,0,1325262.182,4597109.879
1,SUBURB_GH,Urban Periphery,Bright Young Professionals,"physically active and up to the latest in technology, Find leisure going to bars/clubs, attending concerts, going to the beach.",Nationwide,urban outskirts of large metropolitan areas,"Single Family, Multi-Inits",0.07,6690700,0.01,778,2.41,33,54000,508412,Married Couples,7210151,Bright Young Professionals,7203509,107691,915163.04,8.5,323366,2.83,0.01,SUBURB_GH,0,1000836.185,4766406.531
2,SUBURB_GH,SURBURBAN,Comfortable Empty Nesters,"listening to sports radio or watching sports on television, Physically active, they play golf, ski, ride bicycles, and work out regularly, online isn’t a priority,",Nationwide,suburbs and small towns of metropolitan areas,Single Family,0.05,7702700,0.01,282,2.52,48,75000,332487,Married Couples,6840079,Comfortable Empty Nesters,7895275,76190,844186.97,11.08,203530,4.15,0.01,SUBURB_GH,0,1763714.141,3822101.562
3,SUBURB_GH,SURBURBAN,Exurbanites ,"supporting art, expansive home style, early retiree activities, shopping, finance management",Nationwide,suburban periphery of large metropolitan markets,Single Family,0.06,6092100,0.01,288,2.5,51,103400,355758,Married Couples,6200972,Exurbanites,6340307,87022,1211837.98,13.93,223647,5.42,0.01,SUBURB_GH,0,645229.933,6104122.841
4,SUBURB_GH,Rural,Green Acres,"DIY home improvement projects, physical fitness vigorously, from working out on
 home exercise equipment to playing a variety of sports.",Nationwide,rural enclaves in metropolitan areas,Single Family,0.03,10695900,0.01,71,2.7,43.9,76800,281366,Married Couples,8665071,Green Acres,11336834,62331,497540.88,7.98,158593,3.14,0.01,SUBURB_GH,1,6675139.433,1347416.054
5,SUBURB_GH,Semirural,Heartland Communities,,,,,0.01,6980600,0,93,2.39,42.3,42400,87648,Married Couples,6900329,Heartland Communities,6862930,17753,74132.02,4.18,47643,1.56,0,SUBURB_GH,0,1143001.368,5009870.466
6,SUBURB_GH,SURBURBAN,Home Improvement,,,,,0.07,6105100,0.01,422,2.88,37.7,72100,321819,Married Couples,4839208,Home Improvement,6137961,70952,712688.55,10.04,207636,3.43,0.01,SUBURB_GH,0,1715600.19,6851060.38
7,SUBURB_GH,Metro Area,In Style,"DIY or contractors; housekeeping hired, Actively support the arts",Nationwide,City dwellers of large metropolitan areas,Single Family,0.06,6623000,0.01,365,2.35,42,73000,438808,Married Couples w/o kids,6957167,In Style,6880605,103768,1210952.35,11.67,279473,4.33,0.02,SUBURB_GH,0,680700.2571,5144298.438
8,SUBURB_GH,Semirural,Middleburg,"TV and magazines, Christian channels, DIY projects",Nationwide,Semirural locales within metropolitan areas,Single Family,0.04,9734400,0.01,177,2.75,36.1,59800,362224,Married Couples,8961415,Middleburg,10920150,74645,446203.81,5.98,199056,2.24,0.01,SUBURB_GH,1,5931447.91,579833.1405
9,SUBURB_GH,SURBURBAN,Midlife Constants ,,,,,0.03,7325300,0,2.31,2.31,47,53200,247623,Married Couples w/o kids,7822941,Midlife Constants,7459866,56295,477375.09,8.48,147159,3.24,0.01,SUBURB_GH,0,1870762.365,4068111.238
10,SUBURB_GH,Metro Area,Old and Newcomers,,,,,0.05,6249400,0.01,860,2.12,39.4,44900,424925,Singles,7989118,Old and Newcomers,6448969,88354,777452.07,8.8,243135,3.2,0.01,SUBURB_GH,0,1629800.079,5469533.162
