,GRUBHUB DEFINED SEGMENT (2 total: Urban & Suburban),Urbanicity,Segment,Interests,Geo View,Neighborhood,Housing Style,Penetration Rate,pop_from_web,Population Growth,Population Density,Avg Household Size,Median Age,Median HHI,SUM_Diners,Family_Status,Daytime Population,tapestry name,sept23 population,sept23 distinct monthly diners,sept23 total OCP,sept23 monthly avg dcp,sept23 monthly orders,sept23 monthly avg ocp,sept23 penetration,cluster,suburban_cluster
0,SUBURB_GH,Urban Periphery,Bright Young Professionals,"physically active and up to the latest in technology, Find leisure going to bars/clubs, attending concerts, going to the beach.",Nationwide,urban outskirts of large metropolitan areas,"Single Family, Multi-Inits",0.07,6690700.0,0.01,778.0,2.41,33.0,54000.0,508412.0,Married Couples,7210151.0,Bright Young Professionals,7203509.0,107691.0,915163.04,8.5,323366.0,2.83,0.01,1,0
1,SUBURB_GH,Urban Periphery,Rustbelt Traditions,Watching television is a common pastime;,states surrounding the Great Lakes,,Midwest,0.06,6771900.0,0.0,661.0,2.47,39.0,51800.0,334059.0,Married Couples,5993402.0,Rustbelt Traditions,6788611.0,71459.0,663453.73,9.28,210959.0,3.14,0.01,1,0
2,SUBURB_GH,Urban Periphery,Urban Edge Families,"During the summer, family outings to theme parks are especially popular",,South and West,Single Family,0.05,5856600.0,0.01,48.0,3.19,32.5,50900.0,248840.0,Married Couples,4978371.0,Urban Edge Families,6083953.0,50638.0,320081.6,6.32,145289.0,2.2,0.01,1,0
3,SUBURB_GH,SURBURBAN,Pleasantville,"Sports, Movies, Online shopping, Subscribe to premium channels (HBO, Showtime, or Starz) and use video-on-demand, beach, visiting theme parks, frequenting
 museums, and attending rock concerts
 to watch TV shows and movies.","older housing in suburban areas in the Northeast (especially in New York and New Jersey) and secondarily in the West (especially in California),","Suburban periphery of large metropolitan areas, primarily in Middle Atlantic or Pacific states.",Single Family,0.09,7927600.0,0.01,1417.0,2.88,42.6,92900.0,615688.0,Married Couples,7033509.0,Pleasantville,7909701.0,167877.0,2496032.33,14.87,511316.0,4.88,0.02,1,0
4,SUBURB_GH,SURBURBAN,Top Tier,"Opera, classical music, concerts, charity dinners, shopping","Core 4, California","older and located in the suburban periphery of the largest metropolitan areas, especially along the coasts.",Single Family,0.08,6077200.0,0.01,999.0,2.84,47.3,173200.0,573502.0,Married Couples,7334956.0,Top Tier,6030564.0,150533.0,3062783.16,20.35,436728.0,7.01,0.03,1,0
5,SUBURB_GH,SURBURBAN,Savvy Suburbanites,"Gardening, home remodeling, good food, wine, cultural events sports and exercise",Nationwide,suburban periphery of large metropolitan areas,Single Family,0.06,6536700.0,0.04,346.0,2.85,45.1,108700.0,562752.0,Married Couples,8930579.0,Savvy Suburbanites,10826839.0,137579.0,1907232.24,13.86,361617.0,5.27,0.01,0,1
6,SUBURB_GH,SURBURBAN,Workday Drive,"Family oriented, DIY home improvement projects and gardening",Nationwide,suburban periphery of metropolitan areas.,Single Family,0.06,10565700.0,0.01,523.0,2.97,37.0,90500.0,529266.0,Married Couples,9053325.0,Workday Drive,11567195.0,116684.0,1106126.9,9.48,311026.0,3.56,0.01,0,1
7,SUBURB_GH,SURBURBAN,Up & Coming Families ,"Feathering the nest, tech savvy, careful shoppers, thrifters",Nationwide,New suburban periphery: new families in new housing subdivisions,Single Family,0.06,9115600.0,0.03,966.0,3.12,31.4,72000.0,541243.0,Married Couples,8448515.0,Up and Coming Families,11329787.0,112721.0,811487.91,7.2,309937.0,2.62,0.01,0,1
8,SUBURB_GH,SURBURBAN,Parks & Rec,"young couples, family oriented, financially shrewd, trip planning, domestic vacations, phones for calling and texting only","Core 4, California",townhomes and duplexes are scattered,Single Family,0.07,6215500.0,0.0,1251.0,2.51,40.9,60000.0,420899.0,Married Couples,5856695.0,Parks and Rec,6362771.0,103179.0,1276054.79,12.37,316606.0,4.03,0.02,1,0
9,SUBURB_GH,SURBURBAN,Boomburg,"Digitally connected, happy commuters, family oriented activities",Nationwide,suburban periphery of large metropolitan areas,Single Family,0.06,6536700.0,0.04,1017.0,3.25,34.0,113400.0,413173.0,Married Couples,6416950.0,Boomburbs,7999230.0,91451.0,919024.44,10.05,236055.0,3.89,0.01,1,0
