,index,GRUBHUB DEFINED SEGMENT (2 total: Urban & Suburban),Urbanicity,Segment,Interests,Geo View,Neighborhood,Housing Style,Penetration Rate,pop_from_web,Population Growth,Population Density,Avg Household Size,Median Age,Median HHI,SUM_Diners,Family_Status,Daytime Population,tapestry name,sept23 population,sept23 distinct monthly diners,sept23 total OCP,sept23 monthly avg dcp,sept23 monthly orders,sept23 monthly avg ocp,sept23 penetration,cluster,urban_cluster,Distance_to_Cluster_0,Distance_to_Cluster_1
0,25,URBAN_GH,Urban Periphery,City Lights,"passion for social welfare and equal opportunity, Price-conscious consumers, they seek out deals on brands they like, health-conscious consumers",Nationwide,"single-family homes and townhomes, midrise and high-rise apartments, these neighborhoods are racially and ethnically diverse",Multiunits; Single Family,0.11,4774000.0,0.01,3323.0,2.59,39.3,69200.0,496964.0,Married Couples,4675663.0,City Lights,4898288.0,145701.0,2012256.92,13.81,495235.0,4.06,0.03,URBAN_GH,0,1231519.0416544585,4209087.779701533
1,26,URBAN_GH,Urban Periphery,Diverse Convergence,"Read baby magazines and purchase baby products, Listen to Spanish and Latin music on cell phones or on the radio at home",Middle Atlantic (especially in New York and New Jersey) or in California,"urban periphery of
 large metropolitan areas, East and
 West Coasts",High-Density Apartments; Single Family,0.11,4746200.0,0.08,8911.0,3.07,32.8,46500.0,443180.0,Married Couples,4137011.0,Diverse Convergence,4680365.0,125644.0,1493178.18,11.88,459553.0,3.25,0.03,URBAN_GH,0,1053037.3134273603,3634507.5038831276
2,27,URBAN_GH,Urban Periphery,Metro Fusion,"Football and weight lifting, Often eat frozen dinners, but when dining out prefer McDonald’s, Taco
 Bell, Burger King, and Pizza Hut.",Nationwide,urban periphery,Multiunits; Single Family,0.06,4700400.0,0.0,2663.0,2.65,29.3,35700.0,312181.0,Singles,4991589.0,Metro Fusion,4813828.0,62008.0,391211.93,6.31,189319.0,2.07,0.01,URBAN_GH,0,1271314.772866442,3892281.90729472
3,28,URBAN_GH,Urban Periphery,Urban Villages,"Fashion matters to Urban Villages residents, water parks, theme parks, watching movies,
 and gardening, plus sports like soccer and basketball.",West and North East,urban periphery of large metropolitan markets,Single Family,0.05,5031100.0,0.01,338.0,3.78,34.0,62300.0,219594.0,Married Couples,4087075.0,Urban Villages,4870081.0,54658.0,457808.04,8.38,154017.0,2.97,0.01,URBAN_GH,0,1593629.2742158663,3696675.626121868
4,29,URBAN_GH,Urban Periphery,Pacific Heights,"online blogs and chat rooms, watch TV programs and movies, trade and track investments, theme parks; eating out at family restaurants; stopping by Starbucks
 for coffee; listening to all news, contemporary, and hit radio music; and reading
 fashion magazines.","California, Chicago, New York, DC",densely populated neighborhoods in the urban periphery of metropolitan areas.,Single Family,0.07,2849500.0,0.01,3211.0,3.17,42.7,93300.0,178437.0,Married Couples,2588107.0,Pacific Heights,2813511.0,51135.0,516484.27,10.1,152975.0,3.38,0.02,URBAN_GH,1,2990018.783635093,511551.32827718504
5,30,URBAN_GH,Urban Periphery,Modest Income Homes,"playing and watching basketball, gospel and R&B music and prefer to watch BET, primary caregivers",,"multigenerational families, Over half of the homes are renter occupied; average rent is lower than the US average",Single Family,0.05,4299900.0,0.0,742.0,2.56,37.0,23900.0,206687.0,Singles,4308591.0,Modest Income Homes,3988412.0,41753.0,164561.96,3.94,126743.0,1.3,0.01,URBAN_GH,0,1280518.535126176,2794473.7313659843
6,31,URBAN_GH,Urban Periphery,Family Foundations,"Baby products, discount stores,, Magazines, television: subscribe to premium cable channels and own three to four TVs.",South and West,Neighborhoods are found in principal cities of major metropolitan areas throughout the South and West,Single Family,0.06,3567500.0,0.0,1361.0,2.71,39.6,43100.0,195129.0,Singles,3161638.0,Family Foundations,3505321.0,41008.0,195445.95,4.77,128646.0,1.52,0.01,URBAN_GH,1,2154052.673325152,1499706.1659389446
7,32,URBAN_GH,Urban Periphery,Family Extensions,"soccer, personal style—apparel, Media preferences favor Spanish-language channels and websites",California,"urban periphery of large metropolitan areas, primarily on the West Coast.",Single Family; Multiunit Rentals,0.04,3793100.0,0.01,7513.0,4.12,28.3,38300.0,127315.0,Married Couples,2940888.0,Family Extensions,3522004.0,30161.0,210622.65,6.98,86768.0,2.43,0.01,URBAN_GH,1,2282160.762970339,1628713.8541721527
8,33,URBAN_GH,Urban Periphery,Forging Opportunity,"satellite television, Magazines",South and West,urban periphery,Single Family,0.03,4708100.0,0.01,523.0,3.62,28.9,38000.0,113027.0,Married Couples,4355900.0,Forging Opportunity,4599569.0,21877.0,110011.44,5.03,58994.0,1.86,0.0,URBAN_GH,0,1500751.6456866965,3430725.905450493
9,34,URBAN_GH,Urban Periphery,Southwestern Families,"Baby products and activities, Television is a primary source of entertainment, and most homes have multiple sets.",South and West,urban city centers and the suburbs in metropolitan areas,Single Family,0.02,3318700.0,0.01,68.0,3.2,34.6,30400.0,69787.0,Married Couples,3152108.0,Southwestern Families,3092561.0,14366.0,79150.9,5.51,37344.0,2.12,0.0,URBAN_GH,1,2475375.3093798095,1091891.6297356016
10,35,URBAN_GH,URBAN,Laptops & Lattes,"Stock market, health conscious, environment, nice clothes, dining out, travel, treatments at day spas, and
 lattes at Starbucks","High-rent cities like New York; San Francisco; Chicago; and Washington, DC","City dwellers, primarily in apartment buildings",High-Density Apartments,0.25,2517000.0,0.01,10463.0,1.87,37.4,112200.0,1087245.0,Singles,4381563.0,Laptops and Lattes,2746635.0,375666.0,5737719.79,15.27,1674734.0,3.43,0.14,URBAN_GH,0,5187269.867482722,5983691.974622649
11,36,URBAN_GH,URBAN,Metro Renters,"Shopping, social media, socializing, education, fine arts",Nationwide,"20+ unit apartment buildings, typically surrounded by offices and businesses",,0.13,3373900.0,0.02,5308.0,1.67,32.5,67000.0,1135843.0,Singles,8900654.0,Metro Renters,4082040.0,307552.0,3752536.33,12.2,1060964.0,3.54,0.08,URBAN_GH,0,4976609.718019624,7426621.063607507
12,37,URBAN_GH,URBAN,Trendsetters,"Fashion, local art, culture, dining out, exploring new hobbies",Northeast & West Coast,"High-rent cities like New York; San Francisco; Chicago; and Washington, DC",High Density Apartments,0.23,2856100.0,0.01,10481.0,2.12,36.3,63100.0,765028.0,Singles,3316780.0,Trendsetters,2952111.0,253940.0,3627781.46,14.29,1062301.0,3.42,0.09,URBAN_GH,0,3373417.6650125654,3611962.105996213
13,38,URBAN_GH,URBAN,City Strivers,"image-conscious consumers indulge in pedicures and manicures, purchase
 tooth whiteners, and exercise to stay in shape. They prefer to shop around for
 clearance deals, prefer to catch movies on
 premium TV channels such as HBO, Starz, and Showtime","New York, Boston, Washington, or Chicago",Densely populated,High-Density Apartments,0.15,2716200.0,0.01,12938.0,2.78,35.3,44700.0,358893.0,Singles,2336403.0,City Strivers,2769695.0,98615.0,833967.0,8.46,392291.0,2.13,0.04,URBAN_GH,1,3178120.157027232,808887.388249056
14,39,URBAN_GH,URBAN,Downtown Melting Pot,"Brand loyal, coupon shoppers, news from various media forms",Core 4 and California,"Renters, Over three-fourths of homes are in multiunit
 structures: 2–4 unit",High-Density Apartments,0.13,2414900.0,0.01,25890.0,2.93,37.7,50200.0,291346.0,Married Couples,2267246.0,Downtown Melting Pot,2407426.0,91064.0,989103.07,10.86,390010.0,2.54,0.04,URBAN_GH,1,3525458.2823947235,899087.662153108
15,40,URBAN_GH,URBAN,High Rise Renters,"Risk takers, prioritize family, fashion conscious, often over-budget, music",Mostly NYC,"NYC, high-rise multiunit structures,Located in densely populated areas with
 easy access to public transportation",High Rise Rentals,0.14,1800500.0,0.01,7548.0,2.82,32.2,22800.0,226591.0,Single Parents,1641757.0,High Rise Renters,1711073.0,62581.0,484471.57,7.74,275314.0,1.76,0.04,URBAN_GH,1,4686165.202266651,1555988.6441494473
